id,scheduled_time,departure_icao,arrival_icao,delay_in_minutes,flight_status,airline,flight_number,departure_wind,departure_visibility,departure_sky_condition,departure_temperature,departure_altimeter,destination_wind,destination_visibility,destination_sky_condition,destination_temperature,destination_altimeter
56,2025-01-07T07:30:00.000,kfll,kmco,10,active,azul,6967,26012G19KT,10SM,SCT013,21/19,2994.0,29012G23KT,10SM,BKN023,11/07,3000.0
57,2025-01-07T07:30:00.000,kfll,kmco,10,active,jetblue airways,5467,26012G19KT,10SM,SCT013,21/19,2994.0,29012G23KT,10SM,BKN023,11/07,3000.0
58,2025-01-05T01:25:00.000,kmco,kfll,41,active,delta air lines,8842,36004KT,10SM,CLR,11/01,3028.0,34007KT,10SM,FEW025,16/10,3025.0
59,2025-01-05T06:25:00.000,kmco,kfll,31,active,spirit airlines,195,00000KT,10SM,CLR,08/04,3032.0,34006KT,10SM,CLR,13/10,3023.0
60,2025-01-07T07:30:00.000,kfll,kmco,10,active,copa airlines,5067,26012G19KT,10SM,SCT013,21/19,2994.0,29012G23KT,10SM,BKN023,11/07,3000.0
61,2025-01-05T10:50:00.000,kmco,kfll,15,active,southwest airlines,2905,02007KT,10SM,CLR,07/03,3024.0,35005KT,10SM,CLR,12/10,3020.0
62,2025-01-07T07:30:00.000,kfll,kmco,10,active,united airlines,3067,26012G19KT,10SM,SCT013,21/19,2994.0,29012G23KT,10SM,BKN023,11/07,3000.0
63,2025-01-05T09:15:00.000,kmco,kfll,31,active,spirit airlines,8801,01005KT,10SM,CLR,06/04,,35003KT,10SM,CLR,12/10,3020.0
64,2025-01-07T07:30:00.000,kfll,kmco,10,active,silver airways,67,26012G19KT,10SM,SCT013,21/19,2994.0,29012G23KT,10SM,BKN023,11/07,3000.0
65,2025-01-05T16:30:00.000,kmco,kfll,0,active,flightexec,850,07006KT,10SM,SCT250,17/06,3030.0,30003KT,10SM,SCT040,13/11,3022.0
66,2025-01-07T08:25:00.000,kfll,kmco,22,active,southwest airlines,724,26012G19KT,10SM,SCT013,21/19,2994.0,32011KT,10SM,BKN020,08/04,3004.0
67,2025-01-05T20:33:00.000,kmco,kfll,30,active,spirit airlines,675,17008KT,10SM,BKN250,22/04,3016.0,30003KT,10SM,SCT040,13/11,3022.0
68,2025-01-07T08:51:00.000,kfll,kmco,10,active,spirit airlines,196,26012G19KT,10SM,SCT013,21/19,2994.0,32011KT,10SM,BKN020,08/04,3004.0
69,2025-01-06T06:25:00.000,kmco,kfll,8,active,spirit airlines,195,17006KT,10SM,CLR,14/12,3009.0,15011KT,10SM,SCT036,21/14,3007.0
70,2025-01-07T17:05:00.000,kfll,kmco,21,active,azul,6976,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
71,2025-01-06T09:35:00.000,kmco,kfll,18,active,azul,6953,00000KT,10SM,FEW250,12/11,3007.0,21003KT,10SM,SCT041,19/14,3005.0
72,2025-01-07T17:05:00.000,kfll,kmco,21,active,jetblue airways,5476,32010G17KT,10SM,BKN016,15/11,3000.0,36005KT,10SM,OVC024,08/01,3021.0
73,2025-01-06T09:35:00.000,kmco,kfll,18,active,jetblue airways,5453,00000KT,10SM,FEW250,12/11,3007.0,21003KT,10SM,SCT041,19/14,3005.0
74,2025-01-06T09:35:00.000,kmco,kfll,18,active,copa airlines,5053,00000KT,10SM,FEW250,12/11,3007.0,21003KT,10SM,SCT041,19/14,3005.0
76,2025-01-06T09:35:00.000,kmco,kfll,18,active,united airlines,3053,00000KT,10SM,FEW250,12/11,3007.0,21003KT,10SM,SCT041,19/14,3005.0
78,2025-01-06T09:35:00.000,kmco,kfll,18,active,silver airways,53,00000KT,10SM,FEW250,12/11,3007.0,21003KT,10SM,SCT041,19/14,3005.0
81,2025-01-06T16:15:00.000,kmco,kfll,14,active,southwest airlines,4665,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
83,2025-01-06T19:10:00.000,kmco,kfll,106,active,azul,6969,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
86,2025-01-06T19:10:00.000,kmco,kfll,106,active,jetblue airways,5469,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
88,2025-01-06T19:10:00.000,kmco,kfll,106,active,copa airlines,5069,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
91,2025-01-06T19:10:00.000,kmco,kfll,106,active,united airlines,3069,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
93,2025-01-06T19:10:00.000,kmco,kfll,106,active,silver airways,69,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
95,2025-01-06T20:33:00.000,kmco,kfll,15,active,spirit airlines,675,19017G27KT,10SM,SCT250,22/15,2999.0,22004KT,10SM,BKN041,20/14,3005.0
96,2025-01-07T06:25:00.000,kmco,kfll,6,active,spirit airlines,195,29013G25KT,10SM,BKN022,13/09,2998.0,24013G17KT,10SM,BKN055,22/18,2994.0
99,2025-01-07T07:50:00.000,kmco,kfll,28,active,southwest airlines,6023,29012G23KT,10SM,BKN023,11/07,3000.0,26012G19KT,10SM,SCT013,21/19,2994.0
101,2025-01-07T09:35:00.000,kmco,kfll,3,active,azul,6953,33014KT,10SM,BKN022,07/03,3006.0,26012G19KT,10SM,SCT013,21/19,2994.0
104,2025-01-07T09:35:00.000,kmco,kfll,3,active,jetblue airways,5453,33014KT,10SM,BKN022,07/03,3006.0,26012G19KT,10SM,SCT013,21/19,2994.0
