depdelay,arrdelay,scheduleddepartdatetime,origin,dest,uniquecarrier,marketshareorigin,marketsharedest,hhiorigin,hhidest,nonhubairportorigin,smallhubairportorigin,mediumhubairportorigin,largehubairportorigin,nonhubairportdest,smallhubairportdest,mediumhubairportdest,largehubairportdest,nonhubairlineorigin,smallhubairlineorigin,mediumhubairlineorigin,largehubairlineorigin,nonhubairlinedest,smallhubairlinedest,mediumhubairlinedest,largehubairlinedest,year,month,dayofmonth,dayofweek,scheduledhour,originairportid,destairportid,tailnum,capacity,loadfactor,numflights,origincityname,originstate,distance,monopolyroute,temperature,temp_ninfty_n10,temp_n10_0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_40_infty,windspeed,windspeedsquare,windgustdummy,windgustspeed,raindummy,raintracedummy,snowdummy,snowtracedummy,originmetropop,originmetrogdppercapita,destmetropop,destmetrogdppercapita
0,-13,26-Jan-2004 14:12:00,SMF,SFO,OO,.12767585,.26599514,.33639988,.22755489,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,26,1,14,14893,14771,N927SW,55,.60279107,19.540001,"Sacramento, CA",CA,86,1,9.31666666666667,0,0,1,0,0,0,0,6.63333333333333,44.0011111111111,0,0,0,1,0,0,2004144,44124.023,4143522,64955.418
-6,13,28-Jan-2004 06:15:00,ROC,JFK,B6,.079815306,.38618663,.12744446,.21435742,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,28,3,6,14576,12478,N569JB,200,.75238401,19.239,"Rochester, NY",NY,264,1,-4.96,0,1,0,0,0,0,0,21,441,1,29.95,0,0,0,1,1038019,41332,18747431,57295.402
-5,4,09-Jan-2004 06:30:00,PHX,IAH,CO,.02254902,.43008307,.29817489,.33230445,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2004,1,9,5,6,14107,12266,N14219,149,.87668073,19.615999,"Phoenix, AZ",AZ,1009,0,10.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3723359,40701.473,5190444,53535.344
0,-3,06-Jan-2004 13:50:00,DCA,JAX,OH,.10679226,.13547875,.13912898,.13188143,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2004,1,6,2,13,11278,12451,N807CA,55,.74571431,19.322001,"Washington, DC",VA,634,1,4.98823529411765,0,0,1,0,0,0,0,16.9411764705882,287.003460207612,1,23.5294117647059,0,0,0,0,5158524,64237.813,1222731,40121.582
23,21,08-Jan-2004 18:54:00,IAH,ORD,CO,.43008307,.011799591,.33230445,.22355977,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2004,1,8,4,18,12266,13930,N33264,149,.58072621,19.579,"Houston, TX",TX,925,0,15.6,0,0,0,1,0,0,0,3,9,0,0,1,0,0,0,5190444,53535.344,9332090,49360.027
-5,-14,23-Jan-2004 13:15:00,IND,CLE,XE,.082573876,.50947803,.09947855,.304649,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2004,1,23,5,13,12339,11042,N13997,55,.45732859,19.591999,"Indianapolis, IN",IN,261,1,-6.925,0,1,0,0,0,0,0,16,256,0,0,0,0,0,0,1622935,54711.188,2128958,46013.074
-2,-7,31-Jan-2004 08:40:00,LGA,STL,MQ,.14098422,.018648487,.12903389,.23523068,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2004,1,31,6,8,12953,15016,N732MQ,6,.70253772,16.697001,"New York, NY",NY,887,0,-8.41,0,1,0,0,0,0,0,15.3666666666667,236.134444444444,0,0,0,0,0,0,18747431,57295.402,2759153,41982.703
51,54,16-Jan-2004 16:59:00,SMF,SFO,OO,.12767585,.26599514,.33639988,.22755489,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,16,5,16,14893,14771,N918SW,55,.60279107,19.593,"Sacramento, CA",CA,86,1,9,0,0,1,0,0,0,0,2.52631578947368,6.38227146814404,0,0,0,0,0,0,2004144,44124.023,4143522,64955.418
0,-1,25-Jan-2004 16:50:00,BWI,ROC,FL,.10040533,.10224275,.32528204,.12744446,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2004,1,25,7,16,10821,14576,N906AT,100,.52274609,18.465,"Baltimore, MD",MD,277,1,-7.16666666666667,0,1,0,0,0,0,0,4.66666666666667,21.7777777777778,0,0,0,0,0,0,2638066,45261.605,1038019,41332
-4,-8,22-Jan-2004 10:58:00,FNT,ATL,FL,.31054688,.13532631,.34662628,.31958899,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2004,1,22,4,10,11721,10397,N951AT,100,.71099991,19.548,"Flint, MI",MI,644,0,-12.8366666666667,1,0,0,0,0,0,0,22.0333333333333,485.467777777778,0,0,0,0,0,0,439880,29326.18,4802300,49081.773
